,CurrentPlayer,PlayerStrategy,AvgHealedPerTurn,AvgHeroAttacksPerTurn,AvgCardsDrawnPerTurn,AvgCardsPlayedPerTurn,AvgNumCardsToDraw,AvgFriendlyMinionAttacksPerTurn,AvgFriendlyMinionDeathsPerTurn,AvgMinionsPlayedPerTurn,AvgNumMinionsKilledPerTurn,AvgOptionsPlayedPerTurn,NumSpellsPlayedPerGame,NumHeroPowersUsedPerGame,TotalManaSpentPerGame,AvgRemainingManaPerTurn,AvgManaUsedPerTurn
24661,2.0,1.0,0.25,0.0,1.08,1.08,0.0,0.92,0.08,0.83,0.58,2.0,3.0,1.0,51.0,2.08,4.17
24662,1.0,1.0,0.46,0.0,1.69,1.38,0.0,0.77,0.54,1.0,1.0,2.15,5.0,1.0,79.0,0.46,6.08
24663,2.0,1.0,0.0,0.0,1.0,1.17,0.0,0.25,0.25,0.83,0.67,1.42,4.0,0.0,52.0,2.0,4.25
24664,1.0,1.0,1.73,0.0,2.0,1.27,0.0,0.27,0.18,0.82,0.64,1.55,5.0,0.0,60.0,0.45,5.45
24665,2.0,1.0,0.45,0.0,1.09,1.45,0.0,1.27,0.18,1.0,0.64,3.09,5.0,2.0,41.0,2.27,3.64
24666,1.0,1.0,0.0,0.0,1.0,0.91,0.0,0.55,0.09,0.82,0.45,1.45,1.0,0.0,47.0,1.27,3.82
24667,2.0,1.0,0.0,0.0,1.4,1.3,0.0,0.4,0.0,0.9,0.3,1.9,4.0,0.0,43.0,0.9,4.2
24668,1.0,1.0,0.0,0.0,1.33,1.25,0.0,0.83,0.0,0.67,0.42,2.08,7.0,1.0,57.0,1.5,4.75
24669,2.0,1.0,0.33,0.0,1.75,1.67,0.0,0.92,0.58,1.33,1.25,2.67,4.0,1.0,60.0,1.33,4.92
24670,1.0,1.0,0.41,0.0,1.47,1.18,0.0,0.47,0.41,0.71,1.71,1.65,8.0,2.0,84.0,2.41,4.94
24671,2.0,1.0,1.71,0.0,1.29,1.24,0.0,0.53,0.24,1.18,0.53,1.76,1.0,5.0,89.0,2.18,5.18
24672,1.0,1.0,1.33,0.0,1.75,1.25,0.0,0.33,0.5,1.0,1.58,1.58,3.0,2.0,56.0,1.58,4.67
